Date,S,Speedup,Error_Traditional,Error_Hasse,Winner,Traditional_Wins,Hasse_Wins,Ties,Hasse_Win_Ratio
2020-01-01,428.0684983939994,1.1635327503333313,2.4773411953186534e-05,2.4778445523569262e-05,Tie,,0,,
2020-04-01,292.23604682849356,0.8961257913835315,2.4773200905077915e-05,2.4778915959611238e-05,Tie,,0,,
2020-07-01,404.0189693232589,0.851473452926924,2.4773538715890573e-05,2.477571749069929e-05,Tie,,0,,
2020-10-01,317.2434536366324,0.897432922066326,2.4773419851881195e-05,2.4779691977276177e-05,Tie,,0,,
2021-01-01,428.0684983939994,0.880315077799955,2.4773411953186534e-05,2.4778445523569262e-05,Tie,,0,,
2021-04-01,292.23604682849356,0.7995843390266639,2.4773200905077915e-05,2.4778915959611238e-05,Tie,,0,,
2021-07-01,404.0189693232589,0.9108850844123393,2.4773538715890573e-05,2.477571749069929e-05,Tie,,0,,
2021-10-01,317.2434536366324,0.8828249661900909,2.4773419851881195e-05,2.4779691977276177e-05,Tie,,0,,
2022-01-01,428.0684983939994,0.7815844241477243,2.4773411953186534e-05,2.4778445523569262e-05,Tie,,0,,
2022-04-01,292.23604682849356,0.8570847092877903,2.4773200905077915e-05,2.4778915959611238e-05,Tie,,0,,
2022-07-01,404.0189693232589,0.9095686908697252,2.4773538715890573e-05,2.477571749069929e-05,Tie,,0,,
2022-10-01,317.2434536366324,0.9501802926823192,2.4773419851881195e-05,2.4779691977276177e-05,Tie,,0,,
2023-01-01,428.0684983939994,0.8326040378355078,2.4773411953186534e-05,2.4778445523569262e-05,Tie,,0,,
2023-04-01,292.23604682849356,0.8635984417712083,2.4773200905077915e-05,2.4778915959611238e-05,Tie,,0,,
2023-07-01,404.0189693232589,0.9453877024652438,2.4773538715890573e-05,2.477571749069929e-05,Tie,,0,,
2023-10-01,317.2434536366324,0.8697816302532702,2.4773419851881195e-05,2.4779691977276177e-05,Tie,,0,,
